sample_id,HALLMARK_GLYCOLYSIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,delta,label,HK2
330a912b-ae31-4a54-8611-f32b098ba946,0.7367085036232144,1.3609519248350774,-0.624243421211863,Oxidative,5.5752
331a54d0-3061-4e9e-93c7-3fb0f9a96254,0.7818170109877967,1.391526339432118,-0.6097093284443214,Oxidative,5.5526
3324e6df-28f9-42d8-8465-0fcc2d618004,0.7345000703210223,1.0202246619308664,-0.2857245916098441,Mixed,75.073
336a927a-fe7a-4c77-8fcb-5307cfd145c4,0.8860902289110227,1.3257994681347438,-0.43970923922372107,Mixed,48.9443
342bcdf8-2b01-45b8-9bb7-48f151345ac2,0.9081302048052001,1.2559450712504312,-0.3478148664452311,Mixed,91.5904
343ba69a-e983-4966-9084-3bf576a08701,0.8981444579131225,1.3552506377118179,-0.4571061797986954,Mixed,33.8772
34a71e25-c1fa-4f7a-9407-600964534fc5,0.902414297599886,1.2915157511755067,-0.38910145357562065,Mixed,116.5913
34bd0526-91b2-4b99-a33b-5d4bc8c68d39,0.7782047504364716,1.3333891380373573,-0.5551843876008856,Oxidative,7.3871
34fd315d-cfd8-4d85-8114-22311d55a1fc,0.8626971518824152,1.2445713940530272,-0.38187424217061194,Mixed,29.3515
3537c794-46e2-4756-b1d5-f32896e24536,0.7753128013765789,1.3761207648993043,-0.6008079635227255,Oxidative,1.514
3545f947-1a52-4e14-a98d-e400a6cb5e60,0.8833582793244827,1.322386199509629,-0.43902792018514636,Mixed,28.6402
3629b10d-fb7e-47a0-b2d2-4320de98fa17,0.9485003567390199,1.279058330395089,-0.3305579736560692,Mixed,50.8552
363d5bdc-23e6-40b0-929c-0805d86471eb,0.9161094041053196,1.1927269909600289,-0.2766175868547093,Mixed,131.5454
36513c94-fb14-4008-838a-13d23d609382,0.8915089418777011,1.2212580057369475,-0.3297490638592464,Mixed,71.1217
369d7929-e499-436c-b1cc-231715d11635,0.7662575678778036,1.3864589921430583,-0.6202014242652547,Oxidative,2.9309
36e0d06c-4153-4bc3-b415-3f18306218e3,0.8730516148653078,1.273690722103068,-0.4006391072377602,Mixed,84.0374
375080ea-cbbe-4dfb-8da3-cbef10418a2d,0.8876551985953626,1.340419586399163,-0.45276438780380046,Mixed,36.3955
378d47c4-4eda-40d5-ae71-6601a9e63191,0.901820333513539,1.3371152121332006,-0.43529487861966165,Mixed,58.4607
37faaa8d-fcc6-4feb-beae-cfe8155b03c2,0.8834540843699121,1.2928891980751658,-0.40943511370525365,Mixed,95.177
396123b0-8914-42db-a9f3-4fdf987c5faf,0.8447997452299607,1.2414061709884623,-0.3966064257585016,Mixed,53.5743
39b522e7-162a-42e6-bdcc-a156016b9a81,0.9014656046812509,1.3184447531704502,-0.41697914848919926,Mixed,43.0426
39c94a70-a68c-405c-bfbf-9675fbb1411a,0.9230258737232402,1.1679938348247558,-0.24496796110151564,Mixed,81.9891
39fd293e-c269-4de9-ae9e-4e68f8c20897,0.8463018473672568,1.314282202500268,-0.4679803551330113,Mixed,30.2864
3a6bb1dd-89ba-4f26-b7d7-c0c174c0bdf1,0.9565998416364523,1.250525069905622,-0.2939252282691698,Mixed,273.0035
3a9cb52e-6bc0-475c-9eee-230527a3e305,0.884280646798677,1.244800591830423,-0.360519945031746,Mixed,73.5178
3b473c49-9140-4d1d-b9f9-0c9056e93d8a,0.7098313676893199,1.490334145256697,-0.7805027775673771,Oxidative,1.1638
3bca5269-8bb3-4826-bc22-e7b068853f45,0.8725824259073779,1.2943202168065289,-0.421737790899151,Mixed,42.9061
3bfbdcb6-1e9a-43e9-9015-d55b279dc559,0.7727816403179761,1.3763452336880302,-0.603563593370054,Oxidative,5.485
3c0ebda3-32a1-43ca-9b7b-0cb4c8caa33f,0.8702984038198289,1.2155093936915369,-0.34521098987170795,Mixed,57.9394
3c5c707d-2046-4dcd-a566-bea1eaf24f74,0.8160057970333121,1.3756780039406808,-0.5596722069073687,Oxidative,15.5284
3c7b458e-ecca-4d6a-b1c7-48152e184c0b,0.7911530402868026,1.249449525092106,-0.4582964848053035,Mixed,20.0238
3ce8971c-7d06-4da7-af07-efaf4c9f6a75,0.9282017440486309,1.3016906987797492,-0.3734889547311183,Mixed,89.6085
3de35a77-f963-45ff-bfad-a5f24dda75ef,0.7984174519375039,1.442640442214875,-0.6442229902773712,Oxidative,3.8305
3dff6d1d-98ca-49b9-a6e4-5a4da59fb2f8,0.8806460351884386,1.3847033309870318,-0.5040572957985932,Oxidative,74.139
3e2569b7-b145-4bda-9bdf-24105aefe42c,0.857862000867613,1.2956253302877265,-0.43776332942011353,Mixed,28.9183
3f22ab0f-057b-4d34-8722-63ec8c8d1d33,0.8551279026739153,1.310576668790344,-0.4554487661164287,Mixed,78.1504
3f311bca-c591-4dbe-bfb2-fc513259f21c,0.9158023968351624,1.1317642232961347,-0.21596182646097228,Mixed,94.7822
3f5f2871-02ed-48d4-9d26-e4fe823c7df0,0.8392095435158163,1.3242711478091909,-0.4850616042933745,Mixed,11.9743
3fcab96a-b477-48f8-8acd-5c8b76e0c952,0.8397205958417834,1.2124607661148619,-0.3727401702730785,Mixed,29.7035
409aef9c-9085-4e66-a304-fc2aaabaf0d7,0.8602857716869081,1.2677465731881596,-0.4074608015012515,Mixed,39.712
40b17492-39d1-4ce2-8f91-9e1cba32f42a,0.8620038074486783,1.2003577920989192,-0.3383539846502409,Mixed,115.7628
4134fa64-6365-4a43-b990-48342be44405,0.6389691667009927,1.4875016406597747,-0.8485324739587821,Oxidative,1.6219
41954992-a111-4fbb-b6e2-d5ac8f564bf6,0.7906104657575299,1.4079774460715708,-0.6173669803140409,Oxidative,2.7097
41cc637e-36ce-4e10-8175-f24909ff0472,0.7258391146870731,1.3936298640916132,-0.6677907494045401,Oxidative,3.403
421291fd-adda-42ab-8574-209da13d33a6,0.8971556792645417,1.15104713639862,-0.25389145713407846,Mixed,53.8892
424b672b-e409-4b9c-821f-b9d16cc3f454,0.8681638390565288,1.305679610584718,-0.4375157715281891,Mixed,128.279
429ed057-ecc0-41e3-8774-afffe246bcee,0.8658421427004068,1.2013098141567193,-0.3354676714563125,Mixed,80.3628
432ac91a-657b-4630-a5c8-0499aed1b13c,0.8384221683273004,1.3626504597499742,-0.5242282914226738,Oxidative,40.5306
4488f655-ed4d-44d1-acad-20d9c530f84d,0.8942402057021889,1.3543503871413214,-0.4601101814391325,Mixed,55.3524
44c858ac-1ce0-491a-aef5-979224aa09f5,0.8097204399366664,1.1764294793932226,-0.3667090394565562,Mixed,190.3671
44dade70-3ecc-4be0-88a8-772cb763d5bb,0.7974371164713354,1.4470161494191593,-0.6495790329478239,Oxidative,2.8648
44f16ded-c9e7-422c-a03c-1ec124acd76c,0.8717761797616668,1.2904583581113525,-0.4186821783496857,Mixed,26.9753
450ec77d-c822-4d53-9a2b-bd6e4b6b9a62,0.9414772680459963,1.2858585497487207,-0.3443812817027244,Mixed,23.1836
451091ae-1364-4e63-b2c6-82e72aae9458,0.8720684330106032,1.275857129607767,-0.40378869659716377,Mixed,76.5951
457ef116-5df9-4a29-b802-65622d6ca5e9,0.867801305172827,1.1987246400815008,-0.33092333490867376,Mixed,19.382
460999dc-ccec-4f00-bdf5-cf285375fade,0.8905490953077138,1.2070913507225718,-0.31654225541485803,Mixed,44.4667
466888ef-7b80-471e-822c-bf355ef474b8,0.88936955984419,1.2231805240866254,-0.3338109642424354,Mixed,32.4605
46b3a547-c7a4-4499-9a77-29eb56f0a570,0.9295454526445264,1.289068028743262,-0.3595225760987357,Mixed,106.9744
4845a010-e208-4c1b-85b1-99fbd155edf2,0.8719706423064008,1.2730005156653394,-0.4010298733589387,Mixed,20.5232
4850ae76-fede-466d-9362-c0d2e16335ad,0.8856812167578939,1.2516733793679997,-0.3659921626101058,Mixed,217.3565
485e84af-cd91-4096-a2e4-d2594481e5bf,0.8395112243362021,1.2417919391652397,-0.4022807148290376,Mixed,46.7113
486f1d07-6c9a-445d-b603-129238a55dbb,0.8761018720483325,1.3223610793176994,-0.44625920726936696,Mixed,36.7396
489b2714-26c8-4889-9ca9-378957da1a6c,0.8416439921867881,1.2744011397097672,-0.4327571475229791,Mixed,6.8826
4962d196-c54d-442d-b7b3-dd34f8082781,0.834220012771735,1.3003565552296703,-0.46613654245793534,Mixed,10.4914
